protocol,Source Port,Destination Port,Packet Length,TTL,Anomaly Score,label
2,45410,20649,232,172,0.6359502304538448,0
0,64996,40737,919,184,0.7821012254841064,0
2,55506,24531,501,39,0.5328248613126102,0
2,25279,12517,367,105,0.6248231420934378,1
0,42027,47059,185,191,0.9880866567365598,1
0,21020,40545,956,176,0.4384188647019115,0
2,36410,8559,367,133,0.06625469695419994,0
1,22086,8720,868,110,0.9570069178193547,0
2,36955,4887,417,110,0.7930617209035477,0
2,59656,61063,602,152,0.3983103678635713,0
2,36734,28186,745,207,0.9823950536227688,0
2,58587,53088,1478,94,0.34553575034862616,0
0,35717,37388,1264,71,0.3721201960080287,0
2,36764,21576,327,115,0.6097313531899208,1
1,12729,46725,1010,46,0.2743473861553567,0
0,44432,43114,817,130,0.6985714851307327,1
1,29071,39644,738,165,0.15285030395050592,0
1,11990,10101,485,253,0.10802531935815352,0
1,18398,60357,118,152,0.5348780075641556,0
1,12162,7857,1285,94,0.5554936823944011,1
0,51988,38170,177,167,0.10665506962969062,1
0,16959,28805,629,254,0.9641762611311511,0
1,46937,64022,573,159,0.5732866576070837,0
1,59171,35791,670,143,0.1510349924969261,0
0,1513,30989,939,142,0.311442524332299,0
0,45540,44444,246,63,0.8002342139331626,0
0,23284,10913,442,76,0.5232315278655318,0
2,27093,38507,1115,153,0.1881483485465556,0
2,53821,47895,262,211,0.10284897206180477,0
2,57257,22369,549,238,0.4307744122374848,0
1,20299,1771,1088,113,0.3374147086864342,0
2,60073,12306,390,44,0.6559173524819735,0
1,37308,9970,671,55,0.9252469869511654,0
1,53516,12405,708,199,0.2477302857741588,1
2,40202,8990,753,45,0.8552339332828451,0
1,33845,65306,111,251,0.9204619784452005,0
2,52751,35984,1065,234,0.9020025994699015,0
2,61959,44749,191,101,0.9520773299454354,1
0,18023,39463,1235,93,0.8421086221292753,0
2,63546,19361,1120,151,0.5934860053966702,1
0,39736,20122,1324,120,0.4098460987102419,0
2,41196,26288,1407,220,0.4916877860337713,0
2,34746,65473,198,32,0.8726121748775852,0
0,11649,49905,257,248,0.30139837741718245,0
0,2653,43430,1178,225,0.15926169434109438,0
2,11997,61314,896,157,0.14081921813379517,0
1,7883,34161,921,63,0.8269946099050004,0
0,42633,6790,299,172,0.7614856863300977,0
1,44331,27182,1062,192,0.4976453410463415,0
1,46474,14386,759,63,0.27487142809215315,0
1,37070,17062,390,87,0.6776131755426114,0
0,22863,106,1155,183,0.03843309743246981,0
1,28240,44248,889,122,0.5682278156666614,0
